id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1281253769498378240,1281220657620140033,1594309677000,2020-07-09,22:47:57,WIB,1264892185918369797,aulshofi,Aul,,Sudah ada sanksi push up dan denda 50rb saja masih susah kalau diauruh pakai masker. Tidakkah mereka sadar kalau alun-alun masih tempat umum yang ramai serta rawan penyebaran virus meski yang mereka lakukan adalah berolahraga untuk menjaga kesehatan. Sesulit apa sih pakai masker?,['ganjarpranowo'],[],[],0,0,0,[],[],https://twitter.com/AulShofi/status/1281253769498378240,False,,0,,,,,,,"[{'user_id': '1264892185918369797', 'username': 'AulShofi'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281253693023608833,1281093405389578241,1594309659000,2020-07-09,22:47:39,WIB,826065413049978881,yatie84991237,Yattie 🇮🇩,,"Kadrun stressss.. 😂😆😅

PKI yg mnyamar jd Kadrun..  😂😆😅","['5_alfatih', 'julieette99', 'ahmadfa78849395', 'queenoposisi', 'semut_ireng13', 'opposite6891', 'xdigeeembok', 'ganjarpranowo']",[],[],0,0,0,[],[],https://twitter.com/Yatie84991237/status/1281253693023608833,False,,0,,,,,,,"[{'user_id': '826065413049978881', 'username': 'Yatie84991237'}, {'user_id': '1281130642764263424', 'username': '5_alfatih'}, {'user_id': '995744559463256064', 'username': 'Julieette99'}, {'user_id': '879011339028504578', 'username': 'AhmadFa78849395'}, {'user_id': '1250078594493083649', 'username': 'queenoposisi'}, {'user_id': '619636245', 'username': 'semut_ireng13'}, {'user_id': '933285580938477570', 'username': 'opposite6891'}, {'user_id': '58485161', 'username': 'xdigeeembok'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281253555416911874,1281093405389578241,1594309626000,2020-07-09,22:47:06,WIB,826065413049978881,yatie84991237,Yattie 🇮🇩,,"PKI yg sesungguhnya adlah diri loe sdr.. 

Manusia pndengki yg udh di taqdirkan Allah SWT mnjd manusia yg bangkrutt.. 

Hina & hnya mnjd sampah NKRI pic.twitter.com/25WNMq3mF8","['5_alfatih', 'julieette99', 'ahmadfa78849395', 'queenoposisi', 'semut_ireng13', 'opposite6891', 'xdigeeembok', 'ganjarpranowo']",[],['https://pbs.twimg.com/media/EcftT7rU4AAIFAs.jpg'],0,0,0,[],[],https://twitter.com/Yatie84991237/status/1281253555416911874,False,,0,,,,,,,"[{'user_id': '826065413049978881', 'username': 'Yatie84991237'}, {'user_id': '1281130642764263424', 'username': '5_alfatih'}, {'user_id': '995744559463256064', 'username': 'Julieette99'}, {'user_id': '879011339028504578', 'username': 'AhmadFa78849395'}, {'user_id': '1250078594493083649', 'username': 'queenoposisi'}, {'user_id': '619636245', 'username': 'semut_ireng13'}, {'user_id': '933285580938477570', 'username': 'opposite6891'}, {'user_id': '58485161', 'username': 'xdigeeembok'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281253308779261952,1280747798661484545,1594309568000,2020-07-09,22:46:08,WIB,1276772822652600320,jokopra56400550,Joko Pranoto,,Aturan ya harus ditaati,['ganjarpranowo'],[],[],0,0,0,[],[],https://twitter.com/JokoPra56400550/status/1281253308779261952,False,,0,,,,,,,"[{'user_id': '1276772822652600320', 'username': 'JokoPra56400550'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281253265150062598,1281220657620140033,1594309557000,2020-07-09,22:45:57,WIB,715264980,enygoen,inienynyny,,"Kita baru bisa jaga jarak kalo hubungan itu telah kandasss, Pak.",['ganjarpranowo'],[],[],0,0,0,[],[],https://twitter.com/enygoen/status/1281253265150062598,False,,0,,,,,,,"[{'user_id': '715264980', 'username': 'enygoen'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281253160204423169,1281220657620140033,1594309532000,2020-07-09,22:45:32,WIB,81711900,noe_roelz,ñöê,,Seriously it's silly. Ini pandemi belum kelar. Kasus makin tinggi mau kasi masuk anak orang kumpul2 di sekolah-sekolah. Hey itu anak2 kalo di skul kruntelan kerjaannya. Allahuakbar piyeeee mikire orang2 ikiii,"['aldilasandra', 'a_yin89', 'bertadwita', 'ganjarpranowo']",[],[],0,1,2,[],[],https://twitter.com/noe_roelz/status/1281253160204423169,False,,0,,,,,,,"[{'user_id': '81711900', 'username': 'noe_roelz'}, {'user_id': '599205223', 'username': 'AldilaSandra'}, {'user_id': '735861671906840577', 'username': 'a_yin89'}, {'user_id': '3109618878', 'username': 'BertaDwita'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281253046924632066,1281093405389578241,1594309505000,2020-07-09,22:45:05,WIB,826065413049978881,yatie84991237,Yattie 🇮🇩,,"Sampai kiamat.. 

Loe akan mnjd makhluk pndengki.. 

Taqdir Allah atas diri loe... 

Audzubillahimindalik.. pic.twitter.com/QsC1OcovVa","['5_alfatih', 'julieette99', 'ahmadfa78849395', 'queenoposisi', 'semut_ireng13', 'opposite6891', 'xdigeeembok', 'ganjarpranowo']",[],['https://pbs.twimg.com/media/Ecfs2cGUEAE4HtX.jpg'],0,0,0,[],[],https://twitter.com/Yatie84991237/status/1281253046924632066,False,,0,,,,,,,"[{'user_id': '826065413049978881', 'username': 'Yatie84991237'}, {'user_id': '1281130642764263424', 'username': '5_alfatih'}, {'user_id': '995744559463256064', 'username': 'Julieette99'}, {'user_id': '879011339028504578', 'username': 'AhmadFa78849395'}, {'user_id': '1250078594493083649', 'username': 'queenoposisi'}, {'user_id': '619636245', 'username': 'semut_ireng13'}, {'user_id': '933285580938477570', 'username': 'opposite6891'}, {'user_id': '58485161', 'username': 'xdigeeembok'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281252632581902336,1281093405389578241,1594309406000,2020-07-09,22:43:26,WIB,995744559463256064,julieette99,Juliette,,"PKI teriak PKI,bendera boleh nyablon sendiri,abis itu dibakar sendiri,sambil teriak2 sendiri,hahahaaaa,kacau gerombolan KADRUNISTA IDIOTS 👎🤣","['5_alfatih', 'yatie84991237', 'ahmadfa78849395', 'queenoposisi', 'semut_ireng13', 'opposite6891', 'xdigeeembok', 'ganjarpranowo']",[],[],1,0,2,[],[],https://twitter.com/Julieette99/status/1281252632581902336,False,,0,,,,,,,"[{'user_id': '995744559463256064', 'username': 'Julieette99'}, {'user_id': '1281130642764263424', 'username': '5_alfatih'}, {'user_id': '826065413049978881', 'username': 'Yatie84991237'}, {'user_id': '879011339028504578', 'username': 'AhmadFa78849395'}, {'user_id': '1250078594493083649', 'username': 'queenoposisi'}, {'user_id': '619636245', 'username': 'semut_ireng13'}, {'user_id': '933285580938477570', 'username': 'opposite6891'}, {'user_id': '58485161', 'username': 'xdigeeembok'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281252532556161026,1281252532556161026,1594309382000,2020-07-09,22:43:02,WIB,391191681,herisetiyawans,Heri,,Pak @ganjarpranowo tolong ini diapresiasi kadermu🤣  pic.twitter.com/1oGfmentZF,['ganjarpranowo'],[],[],0,0,0,[],[],https://twitter.com/herisetiyawans/status/1281252532556161026,False,,1,,,,,,,"[{'user_id': '391191681', 'username': 'herisetiyawans'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281252508153737216,1281093405389578241,1594309377000,2020-07-09,22:42:57,WIB,826065413049978881,yatie84991237,Yattie 🇮🇩,,Yaelahhh.. Si Kafir sok bawa2 Islam..,"['5_alfatih', 'julieette99', 'ahmadfa78849395', 'queenoposisi', 'semut_ireng13', 'opposite6891', 'xdigeeembok', 'ganjarpranowo']",[],[],1,0,0,[],[],https://twitter.com/Yatie84991237/status/1281252508153737216,False,,0,,,,,,,"[{'user_id': '826065413049978881', 'username': 'Yatie84991237'}, {'user_id': '1281130642764263424', 'username': '5_alfatih'}, {'user_id': '995744559463256064', 'username': 'Julieette99'}, {'user_id': '879011339028504578', 'username': 'AhmadFa78849395'}, {'user_id': '1250078594493083649', 'username': 'queenoposisi'}, {'user_id': '619636245', 'username': 'semut_ireng13'}, {'user_id': '933285580938477570', 'username': 'opposite6891'}, {'user_id': '58485161', 'username': 'xdigeeembok'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281252014131838979,1281220657620140033,1594309259000,2020-07-09,22:40:59,WIB,1243168824972591107,khofifa01155870,suwandari,,Insya Allah saya bisa jaga jarak  http://pak.Tp  yg disekitar kita susah bangeeet..jg jarak pak.Ampuuuun dech.,['ganjarpranowo'],['http://pak.Tp'],[],0,0,0,[],[],https://twitter.com/Khofifa01155870/status/1281252014131838979,False,,0,,,,,,,"[{'user_id': '1243168824972591107', 'username': 'Khofifa01155870'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281251508403634177,1281220657620140033,1594309138000,2020-07-09,22:38:58,WIB,1248939441827151878,kakektua_07,LantaiTujuh,,"Susah pak, suka kelupaan soalnya 😔",['ganjarpranowo'],[],[],0,0,0,[],[],https://twitter.com/KakekTua_07/status/1281251508403634177,False,,0,,,,,,,"[{'user_id': '1248939441827151878', 'username': 'KakekTua_07'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281251471841886209,1281212748198588421,1594309130000,2020-07-09,22:38:50,WIB,1075975389011369984,zamzamifarid,Farid Zamzami,,Betul pripun niki ?? Online atau langsung ke dinas?? Kan kulo bertanya 2 pilihan😁,"['jeparakabgoid', 'dinkeskabjepara', 'bpbd_kabjepara', 'masandijepara', 'ganjarpranowo', 'diskominfojpr', 'dishub_jepara', 'ppidjeparakab', 'polresjepara1', 'pendim_jepara', 'bnpb_indonesia', 'kominfo_jtg']",[],[],1,0,0,[],[],https://twitter.com/ZamzamiFarid/status/1281251471841886209,False,,0,,,,,,,"[{'user_id': '1075975389011369984', 'username': 'ZamzamiFarid'}, {'user_id': '1326289970', 'username': 'jeparakabgoid'}, {'user_id': '2874311358', 'username': 'dinkeskabjepara'}, {'user_id': '4603195212', 'username': 'BPBD_KabJepara'}, {'user_id': '800094665772937216', 'username': 'masandijepara'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '877052761589792768', 'username': 'diskominfojpr'}, {'user_id': '1236655449417453570', 'username': 'Dishub_Jepara'}, {'user_id': '3712315154', 'username': 'PPIDJeparaKab'}, {'user_id': '1252075497653039107', 'username': 'polresjepara1'}, {'user_id': '818718520221409281', 'username': 'Pendim_Jepara'}, {'user_id': '346303384', 'username': 'BNPB_Indonesia'}, {'user_id': '819065767463292928', 'username': 'kominfo_jtg'}]",,,,
1281251230505816069,1281220657620140033,1594309072000,2020-07-09,22:37:52,WIB,599205223,aldilasandra,#dapoerMarconah #dirumahAja,,"sumpah aku kesel.. koyo dikhianati ngunu rasane. 
krn kmrn lusa ke sana utk urusan seragam, msh blg klo online.. eh td sore ada pengumuman masuk.. 
ya Allah, jd gethun milih sekolah kui rasane.. :((","['noe_roelz', 'a_yin89', 'bertadwita', 'ganjarpranowo']",[],[],1,0,0,[],[],https://twitter.com/AldilaSandra/status/1281251230505816069,False,,0,,,,,,,"[{'user_id': '599205223', 'username': 'AldilaSandra'}, {'user_id': '81711900', 'username': 'noe_roelz'}, {'user_id': '735861671906840577', 'username': 'a_yin89'}, {'user_id': '3109618878', 'username': 'BertaDwita'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281251222654038017,1281212748198588421,1594309070000,2020-07-09,22:37:50,WIB,1326289970,jeparakabgoid,Pemkab Jepara,,"Ketika ke Jakarta saja, balik ke Jepara tidak usah buat SIKM. Cek  https://corona.jakarta.go.id/id/izin-keluar-masuk-jakarta …","['kleponmanisss', 'dinkeskabjepara', 'bpbd_kabjepara', 'masandijepara', 'ganjarpranowo', 'diskominfojpr', 'dishub_jepara', 'ppidjeparakab', 'polresjepara1', 'pendim_jepara', 'bnpb_indonesia', 'kominfo_jtg']",['https://corona.jakarta.go.id/id/izin-keluar-masuk-jakarta'],[],1,0,0,[],[],https://twitter.com/jeparakabgoid/status/1281251222654038017,False,,0,,,,,,,"[{'user_id': '1326289970', 'username': 'jeparakabgoid'}, {'user_id': '1276972272935251968', 'username': 'kleponmanisss'}, {'user_id': '2874311358', 'username': 'dinkeskabjepara'}, {'user_id': '4603195212', 'username': 'BPBD_KabJepara'}, {'user_id': '800094665772937216', 'username': 'masandijepara'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '877052761589792768', 'username': 'diskominfojpr'}, {'user_id': '1236655449417453570', 'username': 'Dishub_Jepara'}, {'user_id': '3712315154', 'username': 'PPIDJeparaKab'}, {'user_id': '1252075497653039107', 'username': 'polresjepara1'}, {'user_id': '818718520221409281', 'username': 'Pendim_Jepara'}, {'user_id': '346303384', 'username': 'BNPB_Indonesia'}, {'user_id': '819065767463292928', 'username': 'kominfo_jtg'}]",,,,
1281250963420876800,1281212748198588421,1594309008000,2020-07-09,22:36:48,WIB,1202156554771816449,cha26ie,Aku Masih Polos,,150rb kabare,"['abibi_kurniawan', 'jeparakabgoid', 'dinkeskabjepara', 'bpbd_kabjepara', 'masandijepara', 'ganjarpranowo', 'diskominfojpr', 'dishub_jepara', 'ppidjeparakab', 'polresjepara1', 'pendim_jepara', 'bnpb_indonesia', 'kominfo_jtg']",[],[],1,0,0,[],[],https://twitter.com/cha26ie/status/1281250963420876800,False,,0,,,,,,,"[{'user_id': '1202156554771816449', 'username': 'cha26ie'}, {'user_id': '1123754533983784961', 'username': 'abibi_kurniawan'}, {'user_id': '1326289970', 'username': 'jeparakabgoid'}, {'user_id': '2874311358', 'username': 'dinkeskabjepara'}, {'user_id': '4603195212', 'username': 'BPBD_KabJepara'}, {'user_id': '800094665772937216', 'username': 'masandijepara'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '877052761589792768', 'username': 'diskominfojpr'}, {'user_id': '1236655449417453570', 'username': 'Dishub_Jepara'}, {'user_id': '3712315154', 'username': 'PPIDJeparaKab'}, {'user_id': '1252075497653039107', 'username': 'polresjepara1'}, {'user_id': '818718520221409281', 'username': 'Pendim_Jepara'}, {'user_id': '346303384', 'username': 'BNPB_Indonesia'}, {'user_id': '819065767463292928', 'username': 'kominfo_jtg'}]",,,,
1281250648923635712,1281179343687790593,1594308933000,2020-07-09,22:35:33,WIB,1248738005495320576,nasdin02812074,Nasdin,,Putih gara2 hoby nntn bokep,"['airinairin_nz', 'ganjarpranowo']",[],[],0,0,0,[],[],https://twitter.com/Nasdin02812074/status/1281250648923635712,False,,0,,,,,,,"[{'user_id': '1248738005495320576', 'username': 'Nasdin02812074'}, {'user_id': '1257347831683149824', 'username': 'AirinAirin_NZ'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281250522209456130,1281220657620140033,1594308903000,2020-07-09,22:35:03,WIB,81711900,noe_roelz,ñöê,,Sinting sekolahane,"['a_yin89', 'aldilasandra', 'bertadwita', 'ganjarpranowo']",[],[],1,0,0,[],[],https://twitter.com/noe_roelz/status/1281250522209456130,False,,0,,,,,,,"[{'user_id': '81711900', 'username': 'noe_roelz'}, {'user_id': '735861671906840577', 'username': 'a_yin89'}, {'user_id': '599205223', 'username': 'AldilaSandra'}, {'user_id': '3109618878', 'username': 'BertaDwita'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
