,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW
1100,1281600026578305027,1281562122590146560,1594392231000,2020-07-10,21:43:51,WIB,854933878208778240,jon_pelozhu,Bakpa_O,,amat bangt sangat se,['ganjarpranowo'],[],[],0,0,0,[],[],https://twitter.com/Jon_pelozhu/status/1281600026578305027,False,,0,,,,,,,"[{'user_id': '854933878208778240', 'username': 'Jon_pelozhu'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,,"['amat', 'bangt', 'sangat', 'se']",<FreqDist with 4 samples and 4 outcomes>,['bangt']
1101,1281599517528256514,1281554356920176646,1594392110000,2020-07-10,21:41:50,WIB,1279698433566109697,moenthe_,moenthe_59,,sehat selalu buat bu risma,"['vanessaacoustic', '_umamlik', 'pdi_perjuangan', 'ganjarpranowo', '66hasto', 'tjahjo_kumolo']",[],[],0,0,1,[],[],https://twitter.com/moenthe_/status/1281599517528256514,False,,0,,,,,,,"[{'user_id': '1279698433566109697', 'username': 'moenthe_'}, {'user_id': '1250832728460648449', 'username': 'VanessaAcoustic'}, {'user_id': '1166305200082042881', 'username': '_Umamlik'}, {'user_id': '153407983', 'username': 'PDI_Perjuangan'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '1102831914065387520', 'username': '66Hasto'}, {'user_id': '1312420542', 'username': 'tjahjo_kumolo'}]",,,,,"['sehat', 'selalu', 'buat', 'bu', 'risma']",<FreqDist with 5 samples and 5 outcomes>,"['sehat', 'bu', 'risma']"
1102,1281599505821872128,1281463918280359936,1594392107000,2020-07-10,21:41:47,WIB,1196700321155698688,cueng88,Cueng,,lapor pak husen aja,"['5454annisa', 'ganjarpranowo']",[],[],0,0,0,[],[],https://twitter.com/Cueng88/status/1281599505821872128,False,,0,,,,,,,"[{'user_id': '1196700321155698688', 'username': 'Cueng88'}, {'user_id': '131065154', 'username': '5454annisa'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,,"['lapor', 'pak', 'husen', 'aja']",<FreqDist with 4 samples and 4 outcomes>,"['lapor', 'husen']"
1103,1281598939045609473,1281598939045609473,1594391972000,2020-07-10,21:39:32,WIB,23343960,kompascom,Kompas.com,,gubernur jawa tengah ganjar pranowo menyebut kalau pembangunan fisik tol soloyogyakarta akan dimulai dari prambanan klaten mulai november,[],['http://dlvr.it/RbLvVq'],[],1,3,13,[],[],https://twitter.com/kompascom/status/1281598939045609473,False,,0,,,,,,,"[{'user_id': '23343960', 'username': 'kompascom'}]",,,,,"['gubernur', 'jawa', 'tengah', 'ganjar', 'pranowo', 'menyebut', 'kalau', 'pembangunan', 'fisik', 'tol', 'soloyogyakarta', 'akan', 'dimulai', 'dari', 'prambanan', 'klaten', 'mulai', 'november']",<FreqDist with 18 samples and 18 outcomes>,"['gubernur', 'jawa', 'ganjar', 'pranowo', 'menyebut', 'pembangunan', 'fisik', 'tol', 'soloyogyakarta', 'prambanan', 'klaten', 'november']"
1104,1281598849119686657,1281536826327482368,1594391951000,2020-07-10,21:39:11,WIB,1120725573804773377,bimo30730133,Bimo I♥️ NKRI,,kusus utuk kab temanggung kec kaloran masih bny desayg sama skali tak ada sinyal internet bpkmohon di perhatikan,"['__rismawidiono_', 'diantyyasmin3', 'ganjarpranowo']",[],[],0,0,0,[],[],https://twitter.com/Bimo30730133/status/1281598849119686657,False,,0,,,,,,,"[{'user_id': '1120725573804773377', 'username': 'Bimo30730133'}, {'user_id': '940486643546386432', 'username': '__RismaWidiono_'}, {'user_id': '1153596646418071552', 'username': 'DiantyYasmin3'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,,"['kusus', 'utuk', 'kab', 'temanggung', 'kec', 'kaloran', 'masih', 'bny', 'desayg', 'sama', 'skali', 'tak', 'ada', 'sinyal', 'internet', 'bpkmohon', 'di', 'perhatikan']",<FreqDist with 18 samples and 18 outcomes>,"['kusus', 'utuk', 'kab', 'temanggung', 'kec', 'kaloran', 'bny', 'desayg', 'skali', 'sinyal', 'internet', 'bpkmohon', 'perhatikan']"
1105,1281598484743811073,1281598484743811073,1594391864000,2020-07-10,21:37:44,WIB,91123417,irenecutemom,🌷♐🇲🇨 I r e n e,,apa sih impact positif kartu prakerja kupas tuntas kartu prakerja bersama keynote speaker pak ganjar pranowo dan ibu denni puspa purbasari direktur eksekutif kartu prakerja dan pembicara lain dari program pelatihan yg berpengalaman sabtu juli jam pictwittercomrhtskgckz,[],[],[],1,4,9,[],[],https://twitter.com/Irenecutemom/status/1281598484743811073,False,,1,,,,,,,"[{'user_id': '91123417', 'username': 'Irenecutemom'}]",,,,,"['apa', 'sih', 'impact', 'positif', 'kartu', 'prakerja', 'kupas', 'tuntas', 'kartu', 'prakerja', 'bersama', 'keynote', 'speaker', 'pak', 'ganjar', 'pranowo', 'dan', 'ibu', 'denni', 'puspa', 'purbasari', 'direktur', 'eksekutif', 'kartu', 'prakerja', 'dan', 'pembicara', 'lain', 'dari', 'program', 'pelatihan', 'yg', 'berpengalaman', 'sabtu', 'juli', 'jam', 'pictwittercomrhtskgckz']",<FreqDist with 32 samples and 37 outcomes>,"['impact', 'positif', 'kartu', 'prakerja', 'kupas', 'tuntas', 'kartu', 'prakerja', 'keynote', 'speaker', 'ganjar', 'pranowo', 'denni', 'puspa', 'purbasari', 'direktur', 'eksekutif', 'kartu', 'prakerja', 'pembicara', 'program', 'pelatihan', 'berpengalaman', 'sabtu', 'juli', 'jam', 'pictwittercomrhtskgckz']"
1106,1281598010225332225,1281451072146403328,1594391751000,2020-07-10,21:35:51,WIB,1199509596907429889,firebirdfeniks,PHOENIX,,gur duwe kutang koq kon ganti,"['rizkii_gusti', 'humasjateng', 'ganjarpranowo', '777juniblack', 'hendri_ncy', 'jestwitz', 'pulpenaibon', 'rismawandy_id', 'joyosuto3']",[],[],0,1,5,[],[],https://twitter.com/FireBirdFeniks/status/1281598010225332225,False,,0,,,,,,,"[{'user_id': '1199509596907429889', 'username': 'FireBirdFeniks'}, {'user_id': '1220429682853548032', 'username': 'Rizkii_Gusti'}, {'user_id': '2276246437', 'username': 'humasjateng'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '3769915394', 'username': '777juniblack'}, {'user_id': '714663658467565568', 'username': 'hendri_NCY'}, {'user_id': '171988334', 'username': 'JEStwitz'}, {'user_id': '1238189058796294144', 'username': 'PULPENAIBON'}, {'user_id': '1176888315619901441', 'username': 'Rismawandy_id'}, {'user_id': '1256587025622290433', 'username': 'Joyosuto3'}]",,,,,"['gur', 'duwe', 'kutang', 'koq', 'kon', 'ganti']",<FreqDist with 6 samples and 6 outcomes>,"['gur', 'duwe', 'kutang', 'koq', 'kon', 'ganti']"
1107,1281597775763795968,1281451072146403328,1594391695000,2020-07-10,21:34:55,WIB,1220429682853548032,rizkiiilahi,Kopi Laskar,,kutank  ra ganti sisan,"['firebirdfeniks', 'humasjateng', 'ganjarpranowo', '777juniblack', 'hendri_ncy', 'jestwitz', 'pulpenaibon', 'joyosuto3']",[],[],2,0,4,[],[],https://twitter.com/RizkiIIlahi/status/1281597775763795968,False,,0,,,,,,,"[{'user_id': '1220429682853548032', 'username': 'RizkiIIlahi'}, {'user_id': '1199509596907429889', 'username': 'FireBirdFeniks'}, {'user_id': '2276246437', 'username': 'humasjateng'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '3769915394', 'username': '777juniblack'}, {'user_id': '714663658467565568', 'username': 'hendri_NCY'}, {'user_id': '171988334', 'username': 'JEStwitz'}, {'user_id': '1238189058796294144', 'username': 'PULPENAIBON'}, {'user_id': '1256587025622290433', 'username': 'Joyosuto3'}]",,,,,"['kutank', 'ra', 'ganti', 'sisan']",<FreqDist with 4 samples and 4 outcomes>,"['kutank', 'ra', 'ganti', 'sisan']"
1108,1281597608343953409,1281562005485174786,1594391655000,2020-07-10,21:34:15,WIB,816805902804099072,firzahusain,Firza Husain,,monggo pa ganjar,"['shafafadhillah1', 'ganjarpranowo']",[],[],0,0,1,[],[],https://twitter.com/FirzaHusain/status/1281597608343953409,False,,0,,,,,,,"[{'user_id': '816805902804099072', 'username': 'FirzaHusain'}, {'user_id': '1245513408440463361', 'username': 'ShafaFadhillah1'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,,"['monggo', 'pa', 'ganjar']",<FreqDist with 3 samples and 3 outcomes>,"['monggo', 'pa', 'ganjar']"
1109,1281597298561085440,1281597298561085440,1594391581000,2020-07-10,21:33:01,WIB,3304339699,nugroho_jateng,Nugroho,,mangga bapak dipun tumbasi gula jahenipun pictwittercombzfdxvckcz,"['ganjarpranowo', 'hendrarprihadi']",[],"['https://pbs.twimg.com/media/Eckl8cKU8AQK-ic.jpg', 'https://pbs.twimg.com/media/Eckl8qvU8AMqANC.jpg', 'https://pbs.twimg.com/media/Eckl81KU8AA-5A5.jpg']",1,1,11,[],[],https://twitter.com/Nugroho_jateng/status/1281597298561085440,False,,0,,,,,,,"[{'user_id': '3304339699', 'username': 'Nugroho_jateng'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '1008271238', 'username': 'hendrarprihadi'}]",,,,,"['mangga', 'bapak', 'dipun', 'tumbasi', 'gula', 'jahenipun', 'pictwittercombzfdxvckcz']",<FreqDist with 7 samples and 7 outcomes>,"['mangga', 'dipun', 'tumbasi', 'gula', 'jahenipun', 'pictwittercombzfdxvckcz']"
